T.No.     	Dir   Len   	Acc   	Dec   	Pri		Velocity	Op.D		Pr.Halts		stnName	Loop		A.Time	D.Time
15707     	up	0.5000	0.1300	0.8000	1.907		1.833		all		20		
14217     	up	0.5000	0.2000	0.8000	1.910		1.833		all		26		
12801     	up	0.5000	0.1300	0.8000	1.920		2.167		all		22		
12397     	up	0.5000	0.1300	0.8000	1.920		2.167		all		20		
14113     	up	0.5000	0.2500	0.8000	1.950		1.833		all		29		
22441     	up	0.5000	0.2500	0.8000	1.950		1.833		all		09		
13413     	up	0.5000	0.2000	0.8000	1.950		1.833		all		21		
14005     	up	0.5000	0.1800	0.8000	1.970		1.833		all		19		
19038     	up	0.5000	0.1300	0.8000	1.975		1.833		all		07		
14723     	up	0.5000	0.2000	0.8000	1.975		1.833		all		19		
64595     	up	0.5000	0.3300	0.8000	1.977		1.667		all		20		
14055     	up	0.5000	0.1800	0.8000	1.980		1.833		all		23		
12742     	up	0.5000	0.1300	0.8000	2.000		1.833		all		03		
19046     	up	0.5000	0.1300	0.8000	2.000		1.833		all		05		
12367     	up	0.5000	0.1300	0.8000	2.000		1.833		all		21		
12555     	up	0.5000	0.1300	0.8000	2.050		1.833		all		17		
12451     	up	0.5000	0.1300	0.8000	2.060		1.833		all		18		
12427     	up	0.5000	0.1300	0.8000	2.100		1.833		all		21		
12393     	up	0.5000	0.1000	0.8000	2.110		2.167		all		19		
12533     	up	0.5000	0.1300	0.8000	2.150		1.833		all		02		
16230     	up	0.5000	0.1300	0.8000	2.150		1.833		all		04		
15231     	up	0.5000	0.2300	0.8000	2.150		1.833		all		06		
12309     	up	0.5000	0.1300	0.8000	2.150		2.167		all		19		
12565     	up	0.5000	0.1300	0.8000	2.150		1.833		all		17		
14369     	up	0.5000	0.2300	0.8000	2.200		1.833		all		07		
12401     	up	0.5000	0.1800	0.8000	2.200		1.833		all		27		
12559     	up	0.5000	0.1300	0.8000	2.200		1.833		all		20		
12296     	up	0.5000	0.1300	0.8000	2.200		1.833		all		03		
12403     	up	0.5000	0.1300	0.8000	2.200		1.833		all		06		
12553     	up	0.5000	0.1300	0.8000	2.200		1.833		all		19		
12417     	up	0.5000	0.2000	0.8000	2.300		1.833		all		20		
16359     	up	0.5000	0.3000	0.8000	3.000		1.667		all		02		
64101     	up	0.5000	0.3000	0.8000	3.000		1.600		all		15		
12165     	up	0.5000	0.3000	0.8000	3.000		1.667		all		02		
64163     	up	0.5000	0.3000	0.8000	3.200		1.667		all		03		
54467     	up	0.5000	0.3000	0.8000	3.200		1.667		all		03		
64111     	up	0.5000	0.3000	0.8000	3.200		1.600		all		10		
64103     	up	0.5000	0.3500	0.8000	3.200		1.600		all		15		
64105     	up	0.5000	0.3500	0.8000	3.200		1.600		all		15		
64581     	up	0.5000	0.3000	0.8000	3.300		1.667		all		19		
11107     	up	0.5000	0.3000	0.8000	3.300		1.667		all		02		
64593     	up	0.5000	0.3000	0.8000	3.300		1.667		all		13		
15107     	up	0.5000	0.3000	0.8000	3.300		1.667		all		02		
64109     	up	0.5000	0.3000	0.8000	3.300		1.600		all		06		
63353     	up	0.5000	0.3000	0.8000	3.300		1.667		all		16		
11055     	up	0.5000	0.3000	0.8000	3.300		1.667		all		02		
18201     	up	0.5000	0.3000	0.8000	3.300		1.667		all		02		
64155     	up	0.5000	0.3000	0.8000	3.300		1.667		all		11		
11061     	up	0.5000	0.3000	0.8000	3.300		1.667		all		02		
12791     	up	0.5000	0.3000	0.8000	3.300		1.667		all		02		
54469     	up	0.5000	0.3000	0.8000	3.300		1.667		all		03		
